@relation DARPA99Week1-14

@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute proto numeric
@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute class {NOTSSH,SSH}

@data
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,463,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,479,17,1,63,1,160,NOTSSH
40,52,196,22,40,54,316,31,3345,136533,829825,158023,3187,130101,838538,177082,43714856,6,101,5303,102,5531,SSH
76,76,76,0,76,76,76,0,0,0,0,0,0,0,0,0,71473339765,17,1118,84968,1118,84968,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,484,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,475,17,1,63,1,160,NOTSSH
76,76,76,0,76,76,76,0,0,0,0,0,0,0,0,0,405,17,1,76,1,76,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,480,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,520,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,478,17,1,63,1,160,NOTSSH
76,76,76,0,76,76,76,0,0,0,0,0,0,0,0,0,71537068147,17,1119,85044,1119,85044,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,479,17,1,63,1,160,NOTSSH
72,72,72,0,159,159,159,0,0,0,0,0,0,0,0,0,1093,17,1,72,1,159,NOTSSH
132,132,132,0,167,167,167,0,0,0,0,0,0,0,0,0,28690362635,17,14350,1894200,14350,2396450,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,476,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,478,17,1,63,1,160,NOTSSH
76,76,76,0,76,76,76,0,0,0,0,0,0,0,0,0,464,17,1,76,1,76,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,479,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,474,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,475,17,1,63,1,160,NOTSSH
96,96,96,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,71382939116,17,1788,171648,0,0,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,1148,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,473,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,475,17,1,63,1,160,NOTSSH
76,76,76,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,17,1,76,0,0,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,473,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,486,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,962,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,466,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,556,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,475,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,464,17,1,63,1,160,NOTSSH
76,76,76,0,76,76,76,0,0,0,0,0,0,0,0,0,365,17,1,76,1,76,NOTSSH
76,76,76,0,76,76,76,0,0,0,0,0,0,0,0,0,370,17,1,76,1,76,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,479,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,467,17,1,63,1,160,NOTSSH
63,63,63,0,160,160,160,0,0,0,0,0,0,0,0,0,460,17,1,63,1,160,NOTSSH
